15225,-0.44,0.22,11893,16120,-14.67297,0
15252,-0.44,0.07,11883,16131,-12.56592,0
15280,-0.37,0.15,11875,16142,-10.6853,0
15307,-0.51,0.07,11870,16153,-9.14392,0
15334,-0.44,0.15,11865,16162,-7.78003,0
16043,-0.44,0.07,11860,16158,-7.56909,0
16069,-0.44,0.07,11856,16162,-6.76196,0
16097,-0.51,0.07,11853,16167,-5.979,0
16124,-0.44,0.07,11851,16172,-5.3092,0
16152,-0.51,0.15,11848,16177,-4.52637,0
16716,-0.51,0.15,11845,16171,-4.71924,0
16743,-0.44,0,11842,16171,-4.37988,0
16771,-0.44,0.15,11842,16174,-4.11377,0
16798,-0.37,0.22,11842,16178,-3.75891,0
16826,-0.44,0.07,11842,16182,-3.40417,0
17340,-0.44,0.15,11840,16175,-3.79883,0
17367,-0.44,0.22,11839,16174,-3.77441,0
17394,-0.44,0.07,11839,16176,-3.59705,0
17421,-0.51,0.07,11840,16180,-3.35535,0
17448,-0.37,0.15,11840,16183,-3.08923,0
17950,-0.51,0.15,11837,16176,-3.37085,0
17977,-0.44,0.15,11837,16176,-3.37085,0
18004,-0.51,0.07,11838,16178,-3.30652,0
18032,-0.44,0.15,11839,16180,-3.24219,0
18060,-0.44,0.15,11839,16183,-2.97607,0
18555,-0.51,0.15,11838,16176,-3.48401,0
18582,-0.44,0.15,11837,16174,-3.54822,0
18610,-0.51,0.07,11838,16176,-3.48401,0
18637,-0.51,0.15,11839,16179,-3.33093,0
18664,-0.51,0.07,11840,16182,-3.17798,0
19169,-0.51,0.15,11838,16175,-3.57263,0
19195,-0.44,0.15,11838,16174,-3.66138,0
19223,-0.44,0.15,11837,16176,-3.37085,0
19250,-0.51,0.15,11836,16180,-2.90283,0
19277,-0.44,0.07,11837,16183,-2.74988,0
19764,-0.44,0.07,11835,16176,-3.14453,0
19790,-0.44,0.07,11834,16175,-3.12012,0
19818,-0.51,0.07,11834,16177,-2.94275,0
19846,-0.44,0.22,11835,16180,-2.78967,0
19873,-0.37,0.07,11836,16183,-2.63672,0
20355,-0.51,0.07,11835,16176,-3.14453,0
20381,-0.44,0.15,11835,16174,-3.3219,0
20409,-0.51,0,11835,16176,-3.14453,0
20436,-0.44,0.15,11835,16178,-2.96704,0
20464,-0.51,0.22,11836,16180,-2.90283,0
20956,-0.51,0.15,11834,16174,-3.20886,0
20982,-0.44,0.15,11833,16173,-3.18445,0
21010,-0.37,0.22,11834,16175,-3.12012,0
21038,-0.44,0.07,11835,16178,-2.96704,0
21065,-0.51,0.22,11836,16181,-2.81409,0
21554,-0.51,0.15,11834,16174,-3.20886,0
21580,-0.44,0.15,11834,16173,-3.29761,0
21608,-0.37,0.15,11835,16175,-3.23315,0
21635,-0.44,0.15,11836,16178,-3.0802,0
21662,-0.51,0.15,11837,16181,-2.92725,0
22157,-0.44,0.15,11835,16174,-3.3219,0
22183,-0.37,0.07,11835,16174,-3.3219,0
22211,-0.37,0.15,11835,16176,-3.14453,0
22239,-0.44,0.07,11836,16180,-2.90283,0
22265,-0.44,0.07,11837,16183,-2.74988,0
22752,-0.44,0.15,11835,16176,-3.14453,0
22778,-0.44,0.07,11835,16174,-3.3219,0
22806,-0.44,0,11836,16176,-3.25769,0
22833,-0.44,0.15,11837,16179,-3.10474,0
22860,-0.44,0.07,11838,16182,-2.95178,0
23356,-0.51,0.07,11835,16175,-3.23315,0
23383,-0.59,0.15,11835,16174,-3.3219,0
23410,-0.44,0.07,11835,16176,-3.14453,0
23437,-0.59,0.15,11836,16179,-2.99158,0
23464,-0.44,0.22,11836,16182,-2.72546,0
23950,-0.44,0.07,11834,16176,-3.03149,0
23976,-0.51,0.07,11833,16174,-3.0957,0
24004,-0.59,0.07,11835,16176,-3.14453,0
24031,-0.51,0.22,11836,16178,-3.0802,0
24058,-0.44,0.07,11837,16181,-2.92725,0
24553,-0.51,0.15,11835,16174,-3.3219,0
24580,-0.59,0.07,11834,16172,-3.38623,0
24607,-0.51,0.07,11835,16174,-3.3219,0
24634,-0.44,0.07,11836,16177,-3.16895,0
24662,-0.51,0.07,11837,16180,-3.01599,0
25160,-0.44,0.07,11835,16173,-3.41064,15.3
25187,-0.44,-0.15,11833,16172,-3.27307,15.3
25214,-0.44,0.15,11833,16174,-3.0957,15.3
25242,-0.51,0.07,11834,16177,-2.94275,15.3
25269,-0.51,0.15,11835,16181,-2.70093,15.3
26035,-0.44,5.71,11818,16174,-1.39893,15.3
26061,-0.44,5.79,11790,16173,1.67969,15.3
26089,-0.44,5.79,11773,16176,3.8689,15.3
26116,-0.44,5.71,11763,16175,4.91138,15.3
26143,-0.44,5.79,11755,16176,5.90503,15.3
26910,-0.44,7.47,11741,16174,7.31128,15.3
26937,-0.44,7.4,11728,16176,8.95923,15.3
26964,-0.44,7.4,11725,16170,8.76636,15.3
26992,-0.44,7.47,11719,16170,9.44507,15.3
27020,-0.44,7.47,11715,16177,10.51855,15.3
27595,-0.44,7.98,11707,16177,11.42346,15.3
